"col0"
"src/components/ChatTitle.tsx:<39,16>--<39,27>~~~add_dot_current"
"src/components/ChatTitle.tsx:<39,45>--<39,56>~~~add_dot_current"
"src/components/ChatTitle.tsx:<41,31>--<41,42>~~~add_dot_current"
"src/components/ChatTitle.tsx:<44,22>--<44,33>~~~add_dot_current"
"src/components/ChatTitle.tsx:<46,54>--<46,65>~~~add_dot_current"
"src/components/ChatTitle.tsx:<54,18>--<54,29>~~~add_dot_current"
"src/components/ChatWindow.tsx:<27,14>--<27,23>~~~add_dot_current"
"src/components/InputArea.tsx:<68,39>--<68,42>~~~add_dot_current"
"src/components/SidebarView.tsx:<155,14>--<155,27>~~~add_dot_current"
"src/components/SidebarView.tsx:<156,7>--<156,20>~~~add_dot_current"
"src/components/SidebarView.tsx:<160,28>--<160,41>~~~add_dot_current"
"src/hooks/useChatScroll.ts:<16,48>--<16,59>~~~add_dot_current"
"src/hooks/useChatScroll.ts:<19,24>--<19,35>~~~add_dot_current"
